# Kpath    Energy-Level (in eV)
# Band    1
       0.00000     -19.62737
       0.01711     -19.62665
       0.03422     -19.62448
       0.05133     -19.62087
       0.06844     -19.61582
       0.08555     -19.60933
       0.10266     -19.60140
       0.11978     -19.59203
       0.13689     -19.58123
       0.15400     -19.56900
       0.17111     -19.55534
       0.18822     -19.54026
       0.20533     -19.52376
       0.22244     -19.50585
       0.23955     -19.48654
       0.25666     -19.46582
       0.27377     -19.44372
       0.29088     -19.42024
       0.30799     -19.39539
       0.32511     -19.36917
       0.34222     -19.34161
       0.35933     -19.31270
       0.37644     -19.28248
       0.39355     -19.25095
       0.41066     -19.21813
       0.42777     -19.18405
       0.44488     -19.14873
       0.46199     -19.11219
       0.47910     -19.07446
       0.49621     -19.03559
       0.51332     -18.99562
       0.53043     -18.95458
       0.54755     -18.91254
       0.56466     -18.86956
       0.58177     -18.82572
       0.59888     -18.78112
       0.61599     -18.73589
       0.63310     -18.69017
       0.65021     -18.64414
       0.66732     -18.59804
       0.68443     -18.55218
       0.70154     -18.50696
       0.71865     -18.46289
       0.73576     -18.42066
       0.75287     -18.38115
       0.76999     -18.34552
       0.78710     -18.31519
       0.80421     -18.29178
       0.82132     -18.27690
       0.83843     -18.27178
       0.83843     -18.27178
       0.85267     -18.27164
       0.86691     -18.27124
       0.88115     -18.27056
       0.89539     -18.26962
       0.90963     -18.26841
       0.92387     -18.26694
       0.93811     -18.26522
       0.95236     -18.26324
       0.96660     -18.26102
       0.98084     -18.25857
       0.99508     -18.25589
       1.00932     -18.25299
       1.02356     -18.24989
       1.03780     -18.24659
       1.05204     -18.24311
       1.06628     -18.23945
       1.08052     -18.23563
       1.09476     -18.23168
       1.10901     -18.22759
       1.12325     -18.22339
       1.13749     -18.21909
       1.15173     -18.21471
       1.16597     -18.21026
       1.18021     -18.20577
       1.19445     -18.20125
       1.20869     -18.19671
       1.22293     -18.19219
       1.23717     -18.18770
       1.25141     -18.18325
       1.26565     -18.17887
       1.27990     -18.17457
       1.29414     -18.17037
       1.30838     -18.16630
       1.32262     -18.16237
       1.33686     -18.15860
       1.35110     -18.15500
       1.36534     -18.15160
       1.37958     -18.14840
       1.39382     -18.14542
       1.40806     -18.14268
       1.42230     -18.14019
       1.43655     -18.13796
