# Kpath             Spin-Up       Spin-Down
# Band    1
       0.00000     -18.35537     -18.35538
       0.00937     -18.35579     -18.35579
       0.01874     -18.35701     -18.35701
       0.02811     -18.35905     -18.35905
       0.03748     -18.36190     -18.36190
       0.04685     -18.36554     -18.36554
       0.05622     -18.36997     -18.36997
       0.06559     -18.37518     -18.37518
       0.07496     -18.38114     -18.38114
       0.08434     -18.38783     -18.38783
       0.09371     -18.39524     -18.39524
       0.10308     -18.40333     -18.40334
       0.11245     -18.41210     -18.41210
       0.12182     -18.42150     -18.42150
       0.13119     -18.43152     -18.43152
       0.14056     -18.44213     -18.44213
       0.14993     -18.45329     -18.45329
       0.15930     -18.46498     -18.46498
       0.16867     -18.47716     -18.47716
       0.17804     -18.48982     -18.48982
       0.18741     -18.50291     -18.50291
       0.19678     -18.51642     -18.51642
       0.20615     -18.53030     -18.53030
       0.21552     -18.54454     -18.54454
       0.22489     -18.55911     -18.55911
       0.23426     -18.57396     -18.57396
       0.24363     -18.58908     -18.58908
       0.25301     -18.60444     -18.60444
       0.26238     -18.62002     -18.62002
       0.27175     -18.63579     -18.63579
       0.28112     -18.65172     -18.65172
       0.29049     -18.66779     -18.66779
       0.29986     -18.68398     -18.68398
       0.30923     -18.70026     -18.70026
       0.31860     -18.71662     -18.71662
       0.32797     -18.73303     -18.73303
       0.33734     -18.74947     -18.74947
       0.34671     -18.76593     -18.76593
       0.35608     -18.78238     -18.78238
       0.36545     -18.79881     -18.79881
       0.37482     -18.81521     -18.81521
       0.38419     -18.83154     -18.83154
       0.39356     -18.84781     -18.84781
       0.40293     -18.86400     -18.86400
       0.41230     -18.88008     -18.88008
       0.42168     -18.89605     -18.89605
       0.43105     -18.91190     -18.91190
       0.44042     -18.92761     -18.92761
       0.44979     -18.94316     -18.94316
       0.45916     -18.95856     -18.95856
       0.46853     -18.97379     -18.97379
       0.47790     -18.98884     -18.98884
       0.48727     -19.00369     -19.00369
       0.49664     -19.01834     -19.01834
       0.50601     -19.03279     -19.03279
       0.51538     -19.04701     -19.04701
       0.52475     -19.06101     -19.06101
       0.53412     -19.07477     -19.07477
       0.54349     -19.08829     -19.08829
       0.55286     -19.10157     -19.10157
       0.56223     -19.11459     -19.11459
       0.57160     -19.12734     -19.12734
       0.58097     -19.13983     -19.13983
       0.59035     -19.15204     -19.15204
       0.59972     -19.16397     -19.16397
       0.60909     -19.17561     -19.17561
       0.61846     -19.18697     -19.18697
       0.62783     -19.19804     -19.19804
       0.63720     -19.20880     -19.20880
       0.64657     -19.21926     -19.21926
       0.65594     -19.22942     -19.22942
       0.66531     -19.23926     -19.23926
       0.67468     -19.24879     -19.24879
       0.68405     -19.25800     -19.25800
       0.69342     -19.26689     -19.26689
       0.70279     -19.27545     -19.27545
       0.71216     -19.28368     -19.28368
       0.72153     -19.29158     -19.29158
       0.73090     -19.29915     -19.29915
       0.74027     -19.30639     -19.30639
       0.74964     -19.31328     -19.31328
       0.75902     -19.31983     -19.31983
       0.76839     -19.32604     -19.32604
       0.77776     -19.33191     -19.33191
       0.78713     -19.33743     -19.33743
       0.79650     -19.34260     -19.34260
       0.80587     -19.34743     -19.34743
       0.81524     -19.35190     -19.35190
       0.82461     -19.35601     -19.35601
       0.83398     -19.35977     -19.35978
       0.84335     -19.36318     -19.36318
       0.85272     -19.36623     -19.36624
       0.86209     -19.36893     -19.36893
       0.87146     -19.37127     -19.37127
       0.88083     -19.37325     -19.37325
       0.89020     -19.37487     -19.37487
       0.89957     -19.37613     -19.37613
       0.90894     -19.37703     -19.37703
       0.91831     -19.37757     -19.37757
       0.92769     -19.37775     -19.37775
       0.92769     -19.37775     -19.37775
       0.94094     -19.37739     -19.37739
       0.95419     -19.37631     -19.37631
       0.96744     -19.37451     -19.37451
       0.98069     -19.37198     -19.37198
       0.99394     -19.36875     -19.36875
       1.00720     -19.36479     -19.36479
       1.02045     -19.36011     -19.36011
       1.03370     -19.35472     -19.35472
       1.04695     -19.34862     -19.34862
       1.06020     -19.34181     -19.34181
       1.07346     -19.33428     -19.33428
       1.08671     -19.32605     -19.32605
       1.09996     -19.31712     -19.31712
       1.11321     -19.30748     -19.30748
